"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","465","Проверка невозможности авторизации при отсутствии поля login в запросе","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","443","Проверка невозможности авторизации без пароля","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","1028","test_create_order_with_different_colors[color3-\u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 \u0437\u0430\u043a\u0430\u0437\u0430 \u0431\u0435\u0437 \u0443\u043a\u0430\u0437\u0430\u043d\u0438\u044f \u0446\u0432\u0435\u0442\u0430]","tests","2025-11-14","passed","2025-11-14","TestOrderCreation","test_order_creation","",""
"","1065","test_create_order_with_different_colors[color1-\u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441 \u0441\u0435\u0440\u044b\u043c \u0446\u0432\u0435\u0442\u043e\u043c]","tests","2025-11-14","passed","2025-11-14","TestOrderCreation","test_order_creation","",""
"","1519","Проверка создания курьера с передачей валидных данных во все поля","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","1076","test_create_order_with_different_colors[color0-\u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441 \u0447\u0435\u0440\u043d\u044b\u043c \u0446\u0432\u0435\u0442\u043e\u043c]","tests","2025-11-14","passed","2025-11-14","TestOrderCreation","test_order_creation","",""
"","726","Проверка ошибки при получении заказа с несуществующим номером трека","tests","2025-11-14","passed","2025-11-14","TestGetOrdersTrack","test_additional_get_order_track","",""
"","454","Проверка ошибки при принятии заказа без ID курьера","tests","2025-11-14","passed","2025-11-14","TestAcceptOrder","test_additional_accept_order","",""
"","452","Проверка ошибки при получении заказа без номера трека","tests","2025-11-14","passed","2025-11-14","TestGetOrdersTrack","test_additional_get_order_track","",""
"","514","Проверка ошибки при принятии заказа с несуществующим ID курьера","tests","2025-11-14","passed","2025-11-14","TestAcceptOrder","test_additional_accept_order","",""
"","60451","Проверка невозможности авторизации при пустом теле запроса","tests","2025-11-14","failed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","959","Проверка невозможности авторизации с неправильным паролем","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","1432","Проверка успешной авторизации курьера","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","1823","Проверка невозможности авторизации с неправильным логином","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","494","Проверка невозможности авторизации несуществующего пользователя","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","474","Проверка невозможности создания курьера без поля password","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","60494","Проверка невозможности авторизации при отсутствии поля password в запросе","tests","2025-11-14","failed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","2592","test_create_order_with_different_colors[color2-\u0421\u043e\u0437\u0434\u0430\u043d\u0438\u0435 \u0437\u0430\u043a\u0430\u0437\u0430 \u0441 \u043e\u0431\u043e\u0438\u043c\u0438 \u0446\u0432\u0435\u0442\u0430\u043c\u0438]","tests","2025-11-14","passed","2025-11-14","TestOrderCreation","test_order_creation","",""
"","490","Проверка невозможности авторизации без логина","tests","2025-11-14","passed","2025-11-14","TestCourierLogin","test_courier_login","",""
"","1941","Проверка невозможности создания курьера с уже существующим логином","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","3681","Проверка успешного принятия заказа курьером","tests","2025-11-14","passed","2025-11-14","TestAcceptOrder","test_additional_accept_order","",""
"","443","Проверка невозможности создания курьера без поля login","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","462","Проверка ошибки при удалении курьера без ID","tests","2025-11-14","failed","2025-11-14","TestCourierDelete","test_additional_courier_delete","",""
"","1943","Проверка невозможности создания двух одинаковых курьеров","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","1494","Проверка возможности создания курьера без поля firstName","tests","2025-11-14","passed","2025-11-14","TestCourierCreation","test_courier_creation","",""
"","8508","Проверка получения списка заказов","tests","2025-11-14","passed","2025-11-14","TestOrderList","test_order_list","",""
"","457","Проверка ошибки при удалении курьера с несуществующим id","tests","2025-11-14","passed","2025-11-14","TestCourierDelete","test_additional_courier_delete","",""
"","1526","Проверка успешного удаления курьера","tests","2025-11-14","passed","2025-11-14","TestCourierDelete","test_additional_courier_delete","",""
"","1556","Проверка успешного получения заказа по трекинговому номеру","tests","2025-11-14","passed","2025-11-14","TestGetOrdersTrack","test_additional_get_order_track","",""
"","2038","Проверка ошибки при принятии заказа с несуществующим ID заказа","tests","2025-11-14","passed","2025-11-14","TestAcceptOrder","test_additional_accept_order","",""
